PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.ProteinNames,PG.FastaFiles,PG.Qvalue,PG.Cscore,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.NrOfPrecursorsIdentified,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.IsSingleHit,Q2305_FS_230428_NoRNA_str_AMP_1_052.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_2_055.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_AMP_3_058.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_1_031.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_2_034.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_Beads_3_038.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_1_041.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_2_044.raw.PG.Quantity,Q2305_FS_230428_NoRNA_str_K57A_3_048.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_1_021.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_2_024.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_AMP_3_028.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_1_002.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_2_005.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_Beads_3_008.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_1_011.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_2_015.raw.PG.Quantity,Q2305_FS_230428_NoRNA_unst_K57A_3_018.raw.PG.Quantity
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASHC1;WASH4P;WASH3P;WASH2P;WASH6P,WASH complex subunit 1;Putative WAS protein family homolog 4;Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 6,A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,WASH1_HUMAN;WASH4_HUMAN;WASH3_HUMAN;WASH2_HUMAN;WASH6_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,48.455048,1,1,1,2,2,2,1,2,1,0,0,0,2,2,2,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8823.40234375,6020.734375,28352.998046875,21046.40234375,22069.2578125,24007.44140625,8475.134765625,8335.798828125,8191.3564453125,NaN,NaN,NaN,11886.8271484375,10043.8388671875,9565.2880859375,9475.0283203125,9471.3505859375,9356.029296875
A8K2U0,A8K2U0,A2ML1,Alpha-2-macroglobulin-like protein 1,A8K2U0,A2ML1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,45.455677,0,0,0,0,4,0,0,1,1,0,0,0,0,2,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,NaN,8681.18359375,NaN,NaN,1.0061931610107422,NaN,NaN,NaN,NaN,NaN,2561.163330078125,NaN,NaN,NaN,143.76417541503906
A8MWD9;P62308,A8MWD9;P62308,SNRPGP15;SNRPG,Putative small nuclear ribonucleoprotein G-like protein 15;Small nuclear ribonucleoprotein G,A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,49.396763,6,7,6,6,7,6,7,7,7,7,7,7,7,5,7,7,7,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,126518.34375,132806.328125,137166.578125,80076.828125,75492.625,90393,77246.96875,92111.9765625,78861.7421875,378595.125,343903.78125,303342.125,119716.90625,159775.90625,118387.1484375,152139.640625,162958.40625,171114.046875
C9JLW8,C9JLW8,MCRIP1,Mapk-regulated corepressor-interacting protein 1,C9JLW8,MCRI1_HUMAN,uniprot_sprot_2022-01-07_HUMAN,0,50.61261,11,13,12,15,14,15,13,13,13,6,6,7,13,13,11,11,10,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103452.8203125,95072.3984375,87580.5625,339155.8125,269468.8125,330859.84375,93703.1015625,99614.78125,68752.890625,16446.53125,15863.3916015625,9237.7705078125,40207.16796875,50734.9375,34957.9296875,13590.6083984375,15314.0791015625,13568.3095703125
Cont_E1BJK2,Cont_E1BJK2,TUBB1,Tubulin beta chain,Cont_E1BJK2,E1BJK2_BOVIN,Frankenfield2022_Universal_Contaminants,0.000986842105263158,38.817543,0,1,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,8063.18359375,55979.52734375,NaN,10763.8828125,10412.8349609375,19387.962890625,22400.0234375,21349.74609375,6663.99609375,6220.2841796875,5828.1923828125,25071.74609375,22988.369140625,8608.517578125,11827.06640625,11587.2666015625,8929.458984375
Cont_O43790;O43790,Cont_O43790;O43790,KRT86,"Keratin, type II cuticular Hb6;Keratin, type II cuticular Hb6",Cont_O43790;O43790,KRT86_HUMAN,Frankenfield2022_Universal_Contaminants;uniprot_sprot_2022-01-07_HUMAN,0,47.56972,1,3,2,2,8,11,9,1,11,3,2,2,3,5,5,5,3,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,198747.40625,428309.5625,82897.296875,807204.1875,43811.421875,76456.859375,40585.01171875,134072.765625,32764.19921875,148176.96875,27131.5390625,106915.34375,80800.796875,26622.986328125,18508.271484375,50166,84507.2421875,38104.33984375
Cont_O46375,Cont_O46375,TTR,Transthyretin,Cont_O46375,TTHY_BOVIN,Frankenfield2022_Universal_Contaminants,0,44.923805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,NaN,NaN,NaN,10742.47265625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cont_P00711,Cont_P00711,LALBA,Alpha-lactalbumin,Cont_P00711,LALBA_BOVIN,Frankenfield2022_Universal_Contaminants,0.0003362474781439139,39.785328,0,0,0,3,1,0,0,0,0,0,3,0,0,2,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,22332.693359375,2855.391357421875,NaN,NaN,NaN,NaN,NaN,28517.900390625,NaN,NaN,3036.579345703125,2435.27001953125,NaN,NaN,NaN
Cont_P00760,Cont_P00760,PRSS1,Serine protease 1,Cont_P00760,TRY1_BOVIN,Frankenfield2022_Universal_Contaminants,0,45.23546,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5338349.5,4270303,4230017.5,18124194,12409062,15817450,3893450.5,4297807,2550835.25,2848485,2962897.25,3071516.5,11241174,12164095,12519159,3049574,3926728.5,3653002.5
Cont_P00761,Cont_P00761,,Trypsin,Cont_P00761,TRYP_PIG,Frankenfield2022_Universal_Contaminants,0,52.493088,39,42,39,53,50,49,50,47,48,46,43,45,53,54,51,50,47,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105490952,94359536,90790360,370633888,223725216,261422672,84423720,81090960,55657968,105613024,105998544,111274480,287734336,300158304,292645888,89865840,118035680,109997320
Cont_P00883,Cont_P00883,ALDOA,Fructose-bisphosphate aldolase A,Cont_P00883,ALDOA_RABIT,Frankenfield2022_Universal_Contaminants,0,56.004696,9,14,19,15,22,16,20,20,25,17,16,18,22,18,21,26,21,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11587.125,29401.568359375,73728.984375,17393.58984375,35703.21875,8175.0322265625,34661.8046875,25204.3671875,116957.1953125,46140.54296875,32910.53125,63639.14453125,65437.859375,51559.10546875,56870.13671875,129715.921875,48800.890625,41885.3203125
Cont_P01012,Cont_P01012,SERPINB14,Ovalbumin,Cont_P01012,OVAL_CHICK,Frankenfield2022_Universal_Contaminants,0,49.61512,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NaN,NaN,NaN,NaN,NaN,59604.1484375,NaN,NaN,NaN,NaN,42044.328125,NaN,NaN,NaN,NaN,NaN,NaN,NaN
